Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,08/26/2024,"FEDWIRE CREDIT VIA: TEXAS PARTNERS BANK/114025641 B/O: FIVE CROW REVOCABLE LIVING TRUST EAGLE NE 68347-7022 REF: CHASE NYC/CTR/BNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-0000000 07889 RFB=O/B TEXAS PARTNE OBI=JAME S W GORMAN III DELTA INFINITY L LC 25% OWNERSHIP IMAD: 0826MMQFMPPI000028 TRN: 0491491239FF",100000.00,WIRE_INCOMING,237478.49,,
DEBIT,08/23/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,137478.49,,
DEBIT,08/23/2024,"Online Transfer to CHK ...3911 transaction#: 21818547200 08/23",-250000.00,ACCT_XFER,137493.49,,
CREDIT,08/23/2024,"BOOK TRANSFER CREDIT B/O: INTESA SANPAOLO SPA MILANO ITALY IT ORG:/IT96C0306901856161009302072 ALPS BLOCKCHAIN SPA OGB: INTESA SANPAOLO SPA PIAZZA DELLA SCALA 6 REF: PAYMENT ENERGY OF AYOLAS/CHGS/USD0,/CHGS/USD52,00/OCMT/USD133862,/ TRN: 0208006234FS",133810.00,WIRE_INCOMING,387493.49,,
DEBIT,08/22/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,253683.49,,
DEBIT,08/22/2024,"Online Transfer to CHK ...3911 transaction#: 21809281751 08/22",-50100.00,ACCT_XFER,253698.49,,
DEBIT,08/22/2024,"Payment to Chase card ending in 6118 08/22",-2000.00,LOAN_PMT,303798.49,,
CREDIT,08/22/2024,"FEDWIRE CREDIT VIA: TEXAS PARTNERS BANK/114025641 B/O: FIVE CROW REVOCABLE LIVING TRUST EAGLE NE 68347-7022 REF: CHASE NYC/CTR/BNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-0000000 07889 RFB=O/B TEXAS PARTNE OBI=JAME S W GORMAN III DELTA INFINITY L LC 25% OWNERSHIP IMAD: 0822MMQFMPPI000096 TRN: 1035121235FF",300000.00,WIRE_INCOMING,305798.49,,
DEBIT,08/19/2024,"Payment to Chase card ending in 6118 08/19",-2000.00,LOAN_PMT,5798.49,,
DEBIT,08/19/2024,"Payment to Chase card ending in 6118 08/19",-2000.00,LOAN_PMT,7798.49,,
DEBIT,08/13/2024,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,9798.49,,
DEBIT,08/13/2024,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK N.A./0008 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: DELTA MINING PARAGUAY - NIS 3290321BUSINESS EXPENSES SSN: 00454270 TRN: 3416344226ES 08/13",-160000.00,WIRE_OUTGOING,9838.49,,
DEBIT,08/09/2024,"Payment to Chase card ending in 6118 08/09",-5000.00,LOAN_PMT,169838.49,,
DEBIT,08/05/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,174838.49,,
DEBIT,08/05/2024,"Online Transfer to CHK ...3911 transaction#: 21632201707 08/05",-1000.00,ACCT_XFER,174853.49,,
DEBIT,08/05/2024,"Payment to Chase card ending in 6118 08/05",-2000.00,LOAN_PMT,175853.49,,
CREDIT,08/05/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=/4830659 63754 NEW YORK NY 10016-5596 OBI=/U RI/SEPTEMBER HOSTING SSN: 00494924 TRN: 0116954218FC",34031.91,WIRE_INCOMING,177853.49,,
DEBIT,08/02/2024,"Payment to Chase card ending in 6118 08/02",-2000.00,LOAN_PMT,143821.58,,
DEBIT,07/30/2024,"Payment to Chase card ending in 6118 07/30",-2000.00,LOAN_PMT,145821.58,,
DEBIT,07/25/2024,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,147821.58,,
DEBIT,07/25/2024,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK N.A./0008 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: DELTA MINING PARAGUAY S.A. BUSINESSEXPENSES SSN: 00447611 TRN: 3247234207ES 07/25",-195000.00,WIRE_OUTGOING,147861.58,,
DEBIT,07/24/2024,"Payment to Chase card ending in 6118 07/24",-1000.00,LOAN_PMT,342861.58,,
DEBIT,07/24/2024,"Payment to Chase card ending in 6118 07/24",-1800.00,LOAN_PMT,343861.58,,
DEBIT,07/24/2024,"Payment to Chase card ending in 6118 07/24",-2000.00,LOAN_PMT,345661.58,,
DEBIT,07/23/2024,"Payment to Chase card ending in 6118 07/23",-6000.00,LOAN_PMT,347661.58,,
DEBIT,07/22/2024,"Payment to Chase card ending in 6118 07/22",-1500.00,LOAN_PMT,353661.58,,
DEBIT,07/19/2024,"Payment to Chase card ending in 6118 07/19",-1000.00,LOAN_PMT,355161.58,,
DEBIT,07/17/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,356161.58,,
CREDIT,07/17/2024,"BOOK TRANSFER CREDIT B/O: INTESA SANPAOLO SPA MILANO ITALY IT ORG:/IT96C0306901856161009302072 ALPS BLOCKCHAIN SPA OGB: INTESA SANPAOLO SPA PIAZZA DELLA SCALA 6 REF: PAYMENT ENERGY OF AYOLAS DELTA/CHGS/USD0,/CHGS/USD52,00/OCMT/USD123359 ,/ TRN: 4551126197FS",123307.00,WIRE_INCOMING,356176.58,,
DEBIT,07/15/2024,"Payment to Chase card ending in 6118 07/15",-2000.00,LOAN_PMT,232869.58,,
DEBIT,07/15/2024,"Payment to Chase card ending in 6118 07/15",-1000.00,LOAN_PMT,234869.58,,
DEBIT,07/12/2024,"Online Transfer to CHK ...3911 transaction#: 21381637485 07/12",-3000.00,ACCT_XFER,235869.58,,
DEBIT,07/10/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,238869.58,,
DEBIT,07/10/2024,"Zelle payment to Lucia di Tore 21363900523",-5000.00,QUICKPAY_DEBIT,238884.58,,
CREDIT,07/10/2024,"BOOK TRANSFER CREDIT B/O: JPMORGAN CHASE BANK NA - LONDON LONDON UNITED KINGDOM E14 5JP GB ORG:/GB47REVO00996931837621 1/GM DATA CENTERS AG OGB: REVOLUT LTD THE COLUMBUS BUILDING REF: INV 0000074 ENERGY GM2.2 JUNE/OCMT/USD3424,29/INS/REVOGB2LXXX TRN: 1032235192JS",3424.29,WIRE_INCOMING,243884.58,,
DEBIT,07/08/2024,"Payment to Chase card ending in 6118 07/08",-2000.00,LOAN_PMT,240460.29,,
DEBIT,07/03/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,242460.29,,
CREDIT,07/03/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=/4830659 63754 NEW YORK NY 10016-5596 OBI=/U RI/SEPTEMBER HOSTING SSN: 00462768 TRN: 0113401185FC",40975.34,WIRE_INCOMING,242475.29,,
DEBIT,07/02/2024,"Payment to Chase card ending in 6118 07/02",-5000.00,LOAN_PMT,201499.95,,
DEBIT,06/26/2024,"Payment to Chase card ending in 6118 06/26",-1000.00,LOAN_PMT,206499.95,,
DEBIT,06/26/2024,"Payment to Chase card ending in 6118 06/26",-3000.00,LOAN_PMT,207499.95,,
DEBIT,06/25/2024,"Online Transfer to CHK ...3911 transaction#: 21201948434 06/25",-1000.00,ACCT_XFER,210499.95,,
DEBIT,06/24/2024,"Payment to Chase card ending in 6118 06/24",-1000.00,LOAN_PMT,211499.95,,
DEBIT,06/24/2024,"Payment to Chase card ending in 6118 06/24",-2000.00,LOAN_PMT,212499.95,,
DEBIT,06/21/2024,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,214499.95,,
DEBIT,06/21/2024,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK N.A./0008 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: DELTA MINING PARAGUAY S.A. 3290321 BUSINESS EXPENSES SSN: 00517615 TRN: 3579664173ES 06/21",-97000.00,WIRE_OUTGOING,214539.95,,
DEBIT,06/17/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,311539.95,,
DEBIT,06/17/2024,"Payment to Chase card ending in 6118 06/17",-7000.00,LOAN_PMT,311554.95,,
CREDIT,06/17/2024,"BOOK TRANSFER CREDIT B/O: INTESA SANPAOLO SPA MILANO ITALY IT ORG:/IT96C0306901856161009302072 ALPS BLOCKCHAIN SPA OGB: INTESA SANPAOLO SPA PIAZZA DELLA SCALA 6 REF: PAYMENT ENERGY/CHGS/USD0,/CHGS/USD52,00/OCMT/USD126466,/ TRN: 3547483165FS",126414.00,WIRE_INCOMING,318554.95,,
DEBIT,06/14/2024,"Payment to Chase card ending in 6118 06/14",-1000.00,LOAN_PMT,192140.95,,
DEBIT,06/12/2024,"Payment to Chase card ending in 6118 06/12",-1000.00,LOAN_PMT,193140.95,,
DEBIT,06/10/2024,"Payment to Chase card ending in 6118 06/10",-1000.00,LOAN_PMT,194140.95,,
DEBIT,06/10/2024,"Online Transfer to CHK ...3911 transaction#: 21051829129 06/10",-2000.00,ACCT_XFER,195140.95,,
DEBIT,06/10/2024,"Payment to Chase card ending in 6118 06/10",-500.00,LOAN_PMT,197140.95,,
DEBIT,06/10/2024,"Payment to Chase card ending in 6118 06/10",-3000.00,LOAN_PMT,197640.95,,
DEBIT,06/04/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,200640.95,,
DEBIT,06/04/2024,"Payment to Chase card ending in 6118 06/04",-2000.00,LOAN_PMT,200655.95,,
CREDIT,06/04/2024,"BOOK TRANSFER CREDIT B/O: JPMORGAN CHASE BANK NA - LONDON LONDON UNITED KINGDOM E14 5JP GB ORG:/GB47REVO00996931837621 1/GM DATA CENTERS AG OGB: REVOLUT LTD THE COLUMBUS BUILDING REF: N 001-002-080524 ENERGY GM2.2 APRIL/OCMT/USD3565,26/INS/REVOGB2LXXX TRN: 0032353156JS",3565.26,WIRE_INCOMING,202655.95,,
DEBIT,06/03/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,199090.69,,
DEBIT,06/03/2024,"Online Transfer to CHK ...3911 transaction#: 20980031423 06/03",-2000.00,ACCT_XFER,199105.69,,
CREDIT,06/03/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=/4830659 63754 NEW YORK NY 10016-5596 OBI=/U RI/SEPTEMBER HOSTING SSN: 00579200 TRN: 0141382155FC",43252.59,WIRE_INCOMING,201105.69,,
DEBIT,05/31/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,157853.10,,
DEBIT,05/31/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,157868.10,,
CREDIT,05/31/2024,"BOOK TRANSFER CREDIT B/O: INTESA SANPAOLO SPA MILANO ITALY IT ORG:/IT96C0306901856161009302072 ALPS BLOCKCHAIN SPA OGB: INTESA SANPAOLO SPA PIAZZA DELLA SCALA 6 REF: PAYMENT ENERGY AYOLAS DELTA/CHGS/USD0,/CHGS/USD52,00/OCMT/USD115802,/ TRN: 4173742150FS",115750.00,WIRE_INCOMING,157883.10,,
DEBIT,05/29/2024,"Payment to Chase card ending in 6118 05/29",-1000.00,LOAN_PMT,42133.10,,
DEBIT,05/28/2024,"Payment to Chase card ending in 6118 05/28",-1000.00,LOAN_PMT,43133.10,,
DEBIT,05/24/2024,"Payment to Chase card ending in 6118 05/24",-1000.00,LOAN_PMT,44133.10,,
DEBIT,05/22/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,45133.10,,
CREDIT,05/22/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=/4830659 63754 NEW YORK NY 10016-5596 OBI=/U RI/APRIL POWER SSN: 00458021 TRN: 0114884143FC",44093.18,WIRE_INCOMING,45148.10,,
DEBIT,05/20/2024,"Payment to Chase card ending in 6118 05/20",-2000.00,LOAN_PMT,1054.92,,
DEBIT,05/20/2024,"Online Transfer to CHK ...3911 transaction#: 20838792421 05/20",-4000.00,ACCT_XFER,3054.92,,
DEBIT,05/14/2024,"Payment to Chase card ending in 6118 05/14",-1000.00,LOAN_PMT,7054.92,,
DEBIT,05/07/2024,"Payment to Chase card ending in 6118 05/07",-2000.00,LOAN_PMT,8054.92,,
DEBIT,05/03/2024,"Payment to Chase card ending in 6118 05/03",-4000.00,LOAN_PMT,10054.92,,
DEBIT,05/01/2024,"STANDARD ACH PMNTS INITIAL FEE",-2.50,FEE_TRANSACTION,14054.92,,
DEBIT,05/01/2024,"Payment to Chase card ending in 6118 05/01",-2000.00,LOAN_PMT,14057.42,,
DEBIT,04/29/2024,"Payment to Chase card ending in 6118 04/29",-2000.00,LOAN_PMT,16057.42,,
DEBIT,04/22/2024,"Payment to Chase card ending in 6118 04/22",-1000.00,LOAN_PMT,18057.42,,
DEBIT,04/22/2024,"Payment to Chase card ending in 6118 04/22",-1000.00,LOAN_PMT,19057.42,,
DEBIT,04/16/2024,"Payment to Chase card ending in 6118 04/16",-1000.00,LOAN_PMT,20057.42,,
DEBIT,04/15/2024,"Payment to Chase card ending in 6118 04/15",-1000.00,LOAN_PMT,21057.42,,
DEBIT,04/10/2024,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,22057.42,,
DEBIT,04/10/2024,"ONLINE DOMESTIC WIRE TRANSFER VIA: FST AMER BK CARPET/071922777 A/C: MILLENIA CAPITAL CASA DE BOLSA SA ASUNCION PY IMAD: 0410MMQFMP2K020969 TRN: 3375834101ES 04/10",-42410.64,WIRE_OUTGOING,22082.42,,
DEBIT,04/09/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,64493.06,,
CREDIT,04/09/2024,"BOOK TRANSFER CREDIT B/O: JPMORGAN CHASE BANK NA - LONDON LONDON UNITED KINGDOM E14 5JP GB ORG:/GB47REVO00996931837621 1/GM DATA CENTERS AG OGB: REVOLUT LTD THE COLUMBUS BUILDING REF: N 001-002-060424 ENERGY GM2.1 MARCH/OCMT/USD3329,41/INS/REVOGB2LXXX TRN: 2005362100JS",3329.41,WIRE_INCOMING,64508.06,,
DEBIT,04/08/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,61178.65,,
DEBIT,04/08/2024,"Payment to Chase card ending in 6118 04/08",-1000.00,LOAN_PMT,61193.65,,
DEBIT,04/08/2024,"Payment to Chase card ending in 6118 04/08",-1000.00,LOAN_PMT,62193.65,,
CREDIT,04/08/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=/4830659 63754 NEW YORK NY 10016-5596 OBI=/U RI/MARCH HOSTING SSN: 00555365 TRN: 0132551099FC",46311.28,WIRE_INCOMING,63193.65,,
DEBIT,04/03/2024,"Payment to Chase card ending in 6118 04/03",-8000.00,LOAN_PMT,16882.37,,
DEBIT,04/02/2024,"Online ACH Payment 11127435878 To TessaFormosa (_#####7659)",-350.25,ACH_PAYMENT,24882.37,,
DEBIT,04/01/2024,"Payment to Chase card ending in 6118 04/01",-1000.00,LOAN_PMT,25232.62,,
DEBIT,03/20/2024,"Payment to Chase card ending in 6118 03/20",-2000.00,LOAN_PMT,26232.62,,
DEBIT,03/14/2024,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,28232.62,,
DEBIT,03/14/2024,"Payment to Chase card ending in 6118 03/14",-1005.00,LOAN_PMT,28257.62,,
DEBIT,03/14/2024,"Payment to Chase card ending in 6118 03/14",-1000.00,LOAN_PMT,29262.62,,
DEBIT,03/14/2024,"ONLINE DOMESTIC WIRE TRANSFER VIA: FST AMER BK CARPET/071922777 A/C: MILLENIA CAPITAL CASA DE BOLSA SA ASUNCION PY REF: DELTA ANDE FATURA IMAD: 0314MMQFMP2L016179 TRN: 3228324074ES 03/14",-108426.48,WIRE_OUTGOING,30262.62,,
DEBIT,03/07/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,138689.10,,
DEBIT,03/07/2024,"Payment to Chase card ending in 6118 03/07",-2000.00,LOAN_PMT,138704.10,,
CREDIT,03/07/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=BANK OF AMERICA, N.A. NEW YORK NY US OBI=SE PTEMBER HOSTING BBI=/CHGS/USD0,/OCM T/USD41118,79/ SSN: 0377684 TRN: 0889970067FC",41118.79,WIRE_INCOMING,140704.10,,
DEBIT,03/05/2024,"Payment to Chase card ending in 6118 03/05",-167.72,LOAN_PMT,99585.31,,
DEBIT,03/05/2024,"Payment to Chase card ending in 6118 03/05",-316.78,LOAN_PMT,99753.03,,
DEBIT,03/05/2024,"Payment to Chase card ending in 6118 03/05",-262.30,LOAN_PMT,100069.81,,
DEBIT,03/04/2024,"Payment to Chase card ending in 6118 03/04",-892.48,LOAN_PMT,100332.11,,
DEBIT,03/04/2024,"Payment to Chase card ending in 6118 03/04",-232.80,LOAN_PMT,101224.59,,
DEBIT,03/04/2024,"Payment to Chase card ending in 6118 03/04",-427.82,LOAN_PMT,101457.39,,
DEBIT,02/28/2024,"Payment to Chase card ending in 6118 02/28",-3000.00,LOAN_PMT,101885.21,,
DEBIT,02/26/2024,"Online Transfer to CHK ...3911 transaction#: 19977185684 02/26",-9250.00,ACCT_XFER,104885.21,,
DEBIT,02/21/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,114135.21,,
CREDIT,02/21/2024,"BOOK TRANSFER CREDIT B/O: JPMORGAN CHASE BANK NA - LONDON LONDON UNITED KINGDOM E14 5JP GB ORG:/GB47REVO00996931837621 1/GM DATA CENTERS AG OGB: REVOLUT LTD THE COLUMBUS BUILDING REF: N 001-002-190224/OCMT/USD5054,46/INS/REVOGB2LXXX TRN: 0022744052JS",5054.46,WIRE_INCOMING,114150.21,,
DEBIT,02/13/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,109095.75,,
CREDIT,02/13/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=BANK OF AMERICA, N.A. NEW YORK NY US OBI=SE PTEMBER HOSTING BBI=/CHGS/USD0,/OCM T/USD46659,33/ SSN: 0250659 TRN: 0591530044FC",46659.33,WIRE_INCOMING,109110.75,,
DEBIT,02/07/2024,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,62451.42,,
DEBIT,02/07/2024,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,62491.42,,
DEBIT,02/07/2024,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK NYC/021000089 A/C: BCNAPYPAXXX ASUNCION PY BEN: TRAFOSUR SA ASUNCION PY REF: DELTA AYOLAS TRAFOS BUSINESS EXPENSES/TIME/13:14 IMAD: 0207MMQFMP2N019289 TRN: 3318624038ES 02/07",-32595.00,WIRE_OUTGOING,62531.42,,
DEBIT,02/07/2024,"ONLINE INTERNATIONAL WIRE TRANSFER A/C: BANCO ITAU PARAGUAY S.A. ASUNCION PARAGUAY PY REF: DHAMER PERSONAL EXPENSES/BNF/DHAMER TRN: 3158834038ES 02/07",-2000.00,WIRE_OUTGOING,95126.42,,
DEBIT,02/05/2024,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,97126.42,,
DEBIT,02/05/2024,"ONLINE DOMESTIC WIRE TRANSFER VIA: FST AMER BK CARPET/071922777 A/C: MILLENIA CAPITAL CASA DE BOLSA SA ASUNCION PY IMAD: 0205MMQFMP2L011261 TRN: 3338044036ES 02/05",-37143.41,WIRE_OUTGOING,97151.42,,
DEBIT,01/31/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,134294.83,,
DEBIT,01/25/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,134309.83,,
DEBIT,01/25/2024,"Online Transfer to CHK ...3911 transaction#: 19670156485 01/25",-15000.00,ACCT_XFER,134324.83,,
CREDIT,01/25/2024,"BOOK TRANSFER CREDIT B/O: INTESA SANPAOLO SPA MILANO ITALY IT ORG:/IT96C0306901856161009302072 ALPS BLOCKCHAIN SPA OGB: INTESA SANPAOLO SPA PIAZZA DELLA SCALA 6 REF: PAYMENT WARRANTY AMOUNT/CHGS/USD0,/CHGS/USD52,00/OCMT/USD149116,/ TRN: 8469394025FS",149064.00,WIRE_INCOMING,149324.83,,
DEBIT,01/08/2024,"Online Transfer to CHK ...3911 transaction#: 19519603383 01/08",-3800.00,ACCT_XFER,260.83,,
DEBIT,01/02/2024,"STANDARD ACH PMNTS INITIAL FEE",-2.50,FEE_TRANSACTION,4060.83,,
DEBIT,01/02/2024,"Payment to Chase card ending in 6118 01/02",-2000.00,LOAN_PMT,4063.33,,
